,Principal Component 1,Principal Component 2,principal component 3,principal component 4,principal component 5,principal component 6,target,labels,Occupation_category1,Occupation_category,Total,White,entropy,Black
53,-3.6422927747702727,-0.6783687374865719,0.4057515830913597,0.4983106496752942,-0.3780868958318729,0.2236347046387529,Software developers,0,Computer and mathematical occupations,Computer and mathematical occupations,"1,932",1056804.0000000002,1.2816634654349897,104328.0
54,2.101090452641915,-1.1671778575818372,-0.02030604008505885,-0.3806084537422402,-0.44397212068696573,0.07950426284114345,Software quality assurance analysts and testers,2,Computer and mathematical occupations,Computer and mathematical occupations,74,41365.99999999999,1.3255424306954695,10433.999999999998
55,2.0920747531967416,-0.677321641952746,-0.12610292677388643,0.5177691430790957,0.011682848365018383,-0.0034571434777197372,Web developers,2,Computer and mathematical occupations,Computer and mathematical occupations,81,68607.0,1.1330903796418335,3726.0
56,2.7183009897601136,-0.6040403091363973,0.4271062061042709,0.2887813932595692,0.1591810038584494,-0.02181080357971664,Web and digital interface designers,2,Computer and mathematical occupations,Computer and mathematical occupations,64,55936.0,1.0977186442053475,3200.0
57,-2.1207055809515416,-0.30881235583420336,0.242709565272709,0.04099849358551905,-0.11743349032346079,0.04349900296545941,Computer support specialists,0,Computer and mathematical occupations,Computer and mathematical occupations,660,475860.0,1.3011848950549758,69300.0
58,1.6525663672840034,-1.003500384387175,0.23040274114583323,0.3548327887738849,-0.12004827306573357,0.03785095051247942,Database administrators and architects,2,Computer and mathematical occupations,Computer and mathematical occupations,111,81140.99999999999,1.198231842283165,5660.999999999999
59,0.01448141926389818,-0.6156137349880412,-0.10206576039344653,0.05449995607373873,-0.3133688600573602,-0.0017680375974980082,Network and computer systems administrators,1,Computer and mathematical occupations,Computer and mathematical occupations,212,153911.99999999997,1.2652521859698918,22048.0
60,1.5067931285648002,-0.895194540682616,-0.08922647764332996,0.22262338970159407,0.004924929490912484,0.06174842327295858,Computer network architects,2,Computer and mathematical occupations,Computer and mathematical occupations,102,73440.0,1.2631297266668715,6630.0
61,-2.6849434776051395,-0.24989488918182853,0.32359752399715536,-0.02953478875778529,-0.17909072283940503,0.045030561546276104,"Computer occupations, all other",0,Computer and mathematical occupations,Computer and mathematical occupations,889,625856.0000000001,1.3128110552891419,105791.0
62,0.6489783530838946,-0.5444294457889692,-0.08772630643595193,-0.26394428776754636,-0.24134146756128072,-0.0061142654760197885,Operations research analysts,1,Computer and mathematical occupations,Computer and mathematical occupations,141,100110.0,1.2972546137289287,21009.0
63,-0.14831409079434218,-0.7373899299904734,0.2774440250641902,-0.19739377664318222,-0.2883146112935627,0.05423408440460237,Other mathematical science occupations,1,Computer and mathematical occupations,Computer and mathematical occupations,245,157044.99999999997,1.3073472531101582,30135.0
64,0.4490351019750783,-0.7294933908027103,0.23384838647820885,0.5454869730484292,-0.1681329866054034,0.003187327018832487,"Architects, except landscape and naval",1,Architecture and engineering occupations,Architecture and engineering occupations,212,169388.00000000003,1.1500082368614488,9751.999999999998
65,1.0772310940775671,-0.6173500949888242,0.3587899986140269,-0.02029258324614968,0.2427073119555766,0.04205407808080231,Aerospace engineers,2,Architecture and engineering occupations,Architecture and engineering occupations,129,98040.0,1.266391508994916,10191.0
66,2.7945329270669155,-0.9494147679289564,0.3597588322254278,1.1391190118716918,0.5656252069953153,0.14549250841972106,Chemical engineers,2,Architecture and engineering occupations,Architecture and engineering occupations,75,63375.0,1.106395906922995,975.0
67,-1.0739131747887385,-0.3981505062666918,0.43234720938574844,0.2820155723220801,0.016347590196515747,0.029411184373844202,Civil engineers,1,Architecture and engineering occupations,Architecture and engineering occupations,431,339627.99999999994,1.2145390719342164,28446.0
68,2.0762464236778575,-1.2332755128308746,0.2390796251916769,0.07854974824774737,0.013694395645643408,0.202939300762672,Computer hardware engineers,2,Architecture and engineering occupations,Architecture and engineering occupations,88,49456.0,1.2833840004112078,5192.000000000001
